City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.6,69,20,9.22,few clouds
1,Rikitea,PF,-23.1203,-134.9692,77.25,60,0,7.65,clear sky
2,Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,16,1.01,few clouds
3,Deputatskiy,RU,69.3,139.9,-1.57,90,82,2.89,broken clouds
4,Ancud,CL,-41.8697,-73.8203,54.0,88,100,11.01,overcast clouds
5,Montoro,ES,38.0241,-4.3834,60.8,72,0,3.44,clear sky
6,Bambous Virieux,MU,-20.3428,57.7575,80.01,88,75,9.22,light rain
7,Cosala,MX,24.4125,-106.6908,72.0,83,22,3.0,few clouds
8,Mataura,NZ,-46.1927,168.8643,64.99,60,11,3.0,few clouds
9,Jalu,LY,29.0331,21.5482,62.62,32,14,8.61,few clouds
10,Hilo,US,19.7297,-155.09,77.0,57,20,12.66,few clouds
11,Rairangpur,IN,22.2676,86.1751,82.4,74,75,3.44,haze
12,Tiksi,RU,71.6872,128.8694,-2.54,90,100,3.6,overcast clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,20,6.91,few clouds
14,Bethel,US,41.3712,-73.414,57.2,47,1,5.44,clear sky
15,Ushuaia,AR,-54.8,-68.3,46.4,87,75,3.44,broken clouds
16,Buraydah,SA,26.326,43.975,71.6,23,0,9.22,clear sky
17,Alta Floresta,BR,-9.8756,-56.0861,71.42,93,91,2.33,overcast clouds
18,Alyangula,AU,-13.8483,136.4192,87.8,62,81,8.05,broken clouds
19,Port Alfred,ZA,-33.5906,26.891,68.2,83,100,11.25,overcast clouds
20,Kaitangata,NZ,-46.2817,169.8464,64.99,60,8,5.01,clear sky
21,Busselton,AU,-33.65,115.3333,64.0,76,33,4.0,scattered clouds
22,Sao Filipe,CV,14.8961,-24.4956,74.91,66,100,8.52,overcast clouds
23,Castro,BR,-24.7911,-50.0119,57.67,95,6,9.13,clear sky
24,Magadan,RU,59.5667,150.8,20.01,63,11,4.45,few clouds
25,Hermanus,ZA,-34.4187,19.2345,59.0,92,100,1.01,overcast clouds
26,Maldonado,UY,-34.6667,-54.9167,70.0,83,0,6.91,clear sky
27,Aklavik,CA,68.2191,-135.0107,8.6,47,40,3.44,scattered clouds
28,Praia,CV,14.9215,-23.5087,73.4,46,0,17.27,clear sky
29,Lompoc,US,34.6391,-120.4579,59.0,63,48,12.66,scattered clouds
30,Naze,JP,28.3667,129.4833,71.6,53,75,10.36,broken clouds
31,Reconquista,AR,-29.15,-59.65,70.21,81,41,6.96,scattered clouds
32,Batagay-Alyta,RU,67.8006,130.4114,-6.27,88,34,2.15,scattered clouds
33,Kavieng,PG,-2.5744,150.7967,79.99,77,100,21.59,moderate rain
34,Springbok,ZA,-29.6643,17.8865,67.42,32,2,4.27,clear sky
35,Hokitika,NZ,-42.7167,170.9667,60.6,68,1,5.99,clear sky
36,Amuntai,ID,-2.4177,115.2494,83.53,70,84,0.81,broken clouds
37,Avarua,CK,-21.2078,-159.775,82.4,69,20,9.22,few clouds
38,Pochutla,MX,15.7432,-96.4661,84.99,54,100,1.01,overcast clouds
39,Salalah,OM,17.0151,54.0924,75.2,50,0,4.61,clear sky
40,Samarai,PG,-10.6167,150.6667,83.66,70,100,3.89,overcast clouds
41,Cape Town,ZA,-33.9258,18.4232,63.0,88,0,12.66,clear sky
42,Beboto,TD,8.2668,16.939,87.8,27,100,5.59,overcast clouds
43,Lata,PT,40.1629,-8.3327,55.99,85,38,1.01,scattered clouds
44,Sinjar,IQ,36.3209,41.8754,65.21,34,57,8.01,broken clouds
45,Katsuura,JP,35.1333,140.3,60.8,48,75,8.05,broken clouds
46,Mahebourg,MU,-20.4081,57.7,77.0,88,75,9.22,light rain
47,Albany,US,42.6001,-73.9662,57.2,58,20,9.22,few clouds
48,Adjumani,UG,3.3779,31.7909,67.71,81,41,1.9,scattered clouds
49,Dikson,RU,73.5069,80.5464,8.82,80,100,5.08,overcast clouds
50,Riyadh,SA,24.6877,46.7219,69.8,28,0,2.3,clear sky
51,Nioro,GM,13.35,-15.75,78.26,45,3,6.08,clear sky
52,Andros Town,BS,24.7,-77.7667,68.0,64,0,5.75,clear sky
53,Kaeo,NZ,-35.1,173.7833,73.99,74,67,7.0,broken clouds
54,Saint George,US,37.1041,-113.5841,79.0,7,1,10.36,clear sky
55,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,75,9.22,broken clouds
56,Lavrentiya,RU,65.5833,-171.0,-0.42,74,28,5.46,scattered clouds
57,Abu Dhabi,AE,24.4667,54.3667,69.8,94,0,3.44,mist
58,Yining,CN,29.0361,114.5636,54.82,94,100,1.99,overcast clouds
59,Brae,GB,60.3964,-1.353,39.2,65,75,19.57,broken clouds
60,Los Algarrobos,PA,8.5,-82.4333,80.6,83,40,3.44,scattered clouds
61,Camacha,PT,33.0833,-16.3333,64.4,88,40,5.75,scattered clouds
62,Noumea,NC,-22.2763,166.4572,86.0,61,90,6.91,overcast clouds
63,Lydenburg,ZA,-25.0978,30.4597,60.01,91,98,0.56,overcast clouds
64,Atuona,PF,-9.8,-139.0333,80.73,73,5,15.26,clear sky
65,Punta Arenas,CL,-53.15,-70.9167,48.2,76,40,9.22,scattered clouds
66,Tasiilaq,GL,65.6145,-37.6368,14.0,62,8,5.75,clear sky
67,Provideniya,RU,64.3833,-173.3,5.0,66,0,6.71,clear sky
68,Vila Do Maio,CV,15.1333,-23.2167,73.4,46,0,17.27,clear sky
69,Ulaanbaatar,MN,47.9077,106.8832,37.4,41,75,2.24,broken clouds
70,Medicine Hat,CA,50.0501,-110.6683,60.8,18,90,14.97,overcast clouds
71,Clyde River,CA,70.4692,-68.5914,8.6,92,90,4.61,light snow
72,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,10.36,few clouds
73,College,US,64.8569,-147.8028,19.99,38,40,2.06,scattered clouds
74,Hobart,AU,-42.8794,147.3294,73.99,40,0,6.91,clear sky
75,Mezen,RU,65.8522,44.24,35.49,97,100,9.93,overcast clouds
76,Narsaq,GL,60.9167,-46.05,35.6,64,75,1.14,broken clouds
77,Eureka,US,40.8021,-124.1637,52.0,76,77,8.01,broken clouds
78,Georgetown,MY,5.4112,100.3354,81.0,89,20,2.3,few clouds
79,Lumeje,AO,-11.55,20.7833,64.53,93,100,1.41,overcast clouds
80,Camacupa,AO,-12.0167,17.4833,59.77,84,92,2.01,overcast clouds
81,New Norfolk,AU,-42.7826,147.0587,73.99,29,100,5.01,overcast clouds
82,Boyle,US,37.6334,-84.8666,73.4,56,1,4.61,clear sky
83,Jamestown,US,42.097,-79.2353,62.6,59,1,8.05,clear sky
84,Marsh Harbour,BS,26.5412,-77.0636,70.29,48,1,6.64,clear sky
85,Victoria,HK,22.2855,114.1577,75.0,79,96,3.0,overcast clouds
86,Hithadhoo,MV,-0.6,73.0833,82.89,66,57,10.87,broken clouds
87,Kingman,US,35.1894,-114.053,78.8,7,1,18.41,clear sky
88,Bluff,NZ,-46.6,168.3333,64.99,60,17,3.0,few clouds
89,Robertsport,LR,6.7533,-11.3686,79.27,88,93,4.32,overcast clouds
90,Mamallapuram,IN,12.6264,80.1722,77.0,88,20,3.44,mist
91,Tilichiki,RU,60.4667,166.1,9.91,79,6,6.85,clear sky
92,Iqaluit,CA,63.7506,-68.5145,33.8,93,90,28.77,snow
93,Moroni,KM,-11.7022,43.2551,79.36,83,8,9.55,light rain
94,Homer,US,59.6425,-151.5483,36.0,47,90,4.61,overcast clouds
95,Qaanaaq,GL,77.484,-69.3632,2.23,68,100,7.58,overcast clouds
96,Samana,DO,19.2056,-69.3369,73.76,80,100,10.65,overcast clouds
97,Mar Del Plata,AR,-38.0023,-57.5575,70.0,88,1,6.91,mist
98,San Policarpo,PH,12.1791,125.5072,80.92,73,100,6.4,overcast clouds
99,Fort Dodge,US,42.4975,-94.168,62.6,77,90,3.44,overcast clouds
100,Coihaique,CL,-45.5752,-72.0662,50.0,66,75,3.44,broken clouds
101,Pevek,RU,69.7008,170.3133,-13.38,93,79,4.47,broken clouds
102,Santiago Del Estero,AR,-27.7951,-64.2615,83.91,49,100,12.03,overcast clouds
103,Alenquer,BR,-1.9417,-54.7383,77.0,100,0,3.69,clear sky
104,Pitiquito,MX,30.7,-112.0833,88.0,8,18,4.0,few clouds
105,Agadez,NE,19.75,10.25,79.88,8,100,7.0,overcast clouds
106,Olafsvik,IS,64.8945,-23.7142,27.64,75,100,43.71,overcast clouds
107,Puerto Colombia,CO,10.9878,-74.9547,77.0,88,40,2.3,scattered clouds
108,Kapaa,US,22.0752,-159.319,75.2,64,75,19.57,light rain
109,Halifax,CA,44.6453,-63.5724,44.6,87,100,10.36,overcast clouds
110,Dauphin,CA,51.1494,-100.0502,57.2,30,1,17.27,clear sky
111,Quesnel,CA,52.9999,-122.5029,41.0,75,20,9.22,few clouds
112,Lagoa,PT,39.05,-27.9833,59.22,92,24,22.91,few clouds
113,Saint Anthony,US,45.0205,-93.218,66.2,82,20,10.36,few clouds
114,Ushumun,RU,52.7833,126.5333,22.57,69,13,5.53,few clouds
115,Nangong,CN,37.3581,115.3744,57.76,28,0,4.34,clear sky
116,Bredasdorp,ZA,-34.5322,20.0403,57.2,100,78,2.3,broken clouds
117,Cabedelo,BR,-6.9811,-34.8339,77.0,94,20,4.61,few clouds
118,Oudtshoorn,ZA,-33.5907,22.2014,59.0,94,90,2.3,overcast clouds
119,Carnarvon,AU,-24.8667,113.6333,78.8,61,5,23.02,clear sky
120,Arkhangelsk,RU,64.5401,40.5433,39.2,81,40,6.71,scattered clouds
121,Kodiak,US,57.79,-152.4072,35.6,80,90,8.05,light snow
122,San Jose De Sisa,PE,-6.6167,-76.6915,75.2,94,40,2.3,scattered clouds
123,Fuxin,CN,42.0156,121.6589,51.87,19,0,9.42,clear sky
124,Lebyazhye,RU,55.2689,66.4947,34.65,99,100,10.42,overcast clouds
125,Kalmunai,LK,7.4167,81.8167,76.17,86,65,5.06,broken clouds
126,Fortuna,US,40.5982,-124.1573,52.0,81,90,12.66,overcast clouds
127,Vyartsilya,RU,62.1764,30.693,25.0,98,91,1.1,overcast clouds
128,Butaritari,KI,3.0707,172.7902,81.46,78,100,13.06,light rain
129,Oiso,JP,35.3031,139.3028,61.0,56,83,4.0,broken clouds
130,Chernyshevskiy,RU,63.0128,112.4714,31.62,97,100,11.21,light snow
131,Korla,CN,41.7597,86.1469,57.45,33,100,5.64,overcast clouds
132,Waipawa,NZ,-41.4122,175.5153,69.8,64,0,16.11,clear sky
133,Thompson,CA,55.7435,-97.8558,41.0,52,40,8.05,scattered clouds
134,Adrar,MR,20.5022,-10.0711,76.42,21,5,10.8,clear sky
135,Morondava,MG,-20.2833,44.2833,75.13,82,22,5.93,few clouds
136,Raga,SS,8.4596,25.678,81.39,29,100,3.06,overcast clouds
137,Ankazoabo,MG,-22.2833,44.5167,67.98,81,0,4.03,clear sky
138,Lima,PE,-12.0432,-77.0282,69.8,78,0,14.97,clear sky
139,Irbeyskoye,RU,55.6428,95.4522,31.8,91,100,4.5,overcast clouds
140,Calvinia,ZA,-31.4707,19.776,66.07,24,72,1.66,broken clouds
141,Barrow,US,71.2906,-156.7887,-18.4,63,90,11.5,haze
142,Denpasar,ID,-8.65,115.2167,84.2,79,20,5.75,few clouds
143,Caxito,AO,-8.5785,13.6643,73.4,94,75,6.91,broken clouds
144,Nikolskoye,RU,59.7035,30.7861,30.0,93,95,6.71,fog
145,Marsa Matruh,EG,31.3525,27.2453,51.8,82,40,5.75,scattered clouds
146,Chokurdakh,RU,70.6333,147.9167,-0.08,85,52,3.06,broken clouds
147,Coquimbo,CL,-29.9533,-71.3436,60.8,88,90,3.44,overcast clouds
148,Najran,SA,17.4924,44.1277,62.6,27,0,0.72,clear sky
149,Necochea,AR,-38.5473,-58.7368,73.0,78,73,8.01,broken clouds
150,Ahipara,NZ,-35.1667,173.1667,70.3,62,76,1.05,broken clouds
151,Sakaiminato,JP,35.55,133.2333,60.8,41,75,3.44,broken clouds
152,Port-Gentil,GA,-0.7193,8.7815,81.39,80,46,8.9,scattered clouds
153,Gubkinskiy,RU,64.434,76.5026,20.59,92,100,7.18,overcast clouds
154,Zhigansk,RU,66.7697,123.3711,10.35,89,100,22.62,overcast clouds
155,Cabo San Lucas,MX,22.8909,-109.9124,84.2,26,40,11.5,scattered clouds
156,Ribeira Grande,PT,38.5167,-28.7,60.1,90,54,20.87,broken clouds
157,Airai,TL,-8.9266,125.4092,68.58,77,100,1.16,overcast clouds
158,Aberystwyth,GB,52.4155,-4.0829,41.0,100,99,8.55,overcast clouds
159,Nantucket,US,41.2835,-70.0995,43.0,93,40,10.36,scattered clouds
160,Marzuq,YE,14.4,46.4667,65.41,29,2,3.62,clear sky
161,Yellowknife,CA,62.456,-114.3525,17.6,86,90,11.5,snow
162,Brazzaville,CG,-4.2658,15.2832,77.0,94,100,1.14,overcast clouds
163,Bengkulu,ID,-3.8004,102.2655,77.49,81,96,3.36,overcast clouds
164,Benghazi,LY,32.1167,20.0667,61.29,57,100,6.42,overcast clouds
165,Khatanga,RU,71.9667,102.5,-8.52,97,100,2.98,overcast clouds
166,Kilindoni,TZ,-7.9139,39.6668,78.98,80,91,11.3,moderate rain
167,Kanniyakumari,IN,8.0833,77.5667,79.18,78,93,7.36,overcast clouds
168,Honiara,SB,-9.4333,159.95,82.49,77,100,8.08,overcast clouds
169,Kitimat,CA,54.0524,-128.6534,42.01,78,97,1.01,light snow
170,Ardahan,TR,41.1087,42.7022,33.91,81,0,2.57,clear sky
171,Tikrit,IQ,34.6071,43.6782,73.26,17,53,7.81,broken clouds
172,Jiuquan,CN,39.7432,98.5174,49.86,30,100,5.12,overcast clouds
173,Bytca,SK,49.224,18.5588,30.0,93,90,1.14,overcast clouds
174,Cidreira,BR,-30.1811,-50.2056,74.03,74,2,21.59,clear sky
175,Fort-Shevchenko,KZ,44.5086,50.263,51.98,42,0,11.03,clear sky
176,Buala,SB,-8.145,159.5921,82.51,73,100,9.24,light rain
177,Kidal,ML,18.4411,1.4078,82.4,8,95,10.78,overcast clouds
178,Codrington,AU,-38.2667,141.9667,73.08,36,100,11.83,overcast clouds
179,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.55,80,13,4.05,few clouds
180,Uruzgan,AF,32.8333,66.0,52.14,32,0,5.01,clear sky
181,Bakchar,RU,57.0186,82.0711,31.96,97,100,6.49,light snow
182,Mattawa,US,46.7379,-119.9028,46.0,47,86,7.0,overcast clouds
183,Russkiy Aktash,RU,55.0384,52.1214,35.6,87,0,6.71,clear sky
184,Hearst,CA,49.6835,-83.6665,39.2,100,100,3.44,moderate rain
185,Kieta,PG,-6.2167,155.6333,78.6,90,100,10.38,light rain
186,Nabire,ID,-3.3667,135.4833,80.46,76,99,1.21,overcast clouds
187,Ulladulla,AU,-35.35,150.4667,77.0,57,40,5.75,scattered clouds
188,Kiama,AU,-34.6833,150.8667,79.0,71,39,3.0,scattered clouds
189,Lazaro Cardenas,MX,17.9583,-102.2,78.39,60,0,9.57,clear sky
190,Munsingen,DE,48.4113,9.497,33.01,77,72,11.56,light snow
191,Liverpool,GB,53.4106,-2.9779,43.0,81,75,5.75,broken clouds
192,Upington,ZA,-28.4478,21.2561,71.6,60,20,5.75,few clouds
193,Keti Bandar,PK,24.1447,67.4497,79.18,63,0,10.11,clear sky
194,Harper,LR,4.375,-7.7169,79.72,86,64,4.09,light rain
195,Grants,US,35.1473,-107.8514,60.8,8,1,13.8,clear sky
196,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,90,6.91,mist
197,Las Palmas,ES,28.4204,-14.0131,62.6,63,0,5.75,clear sky
198,Talbahat,IN,25.05,78.4333,76.84,20,0,7.14,clear sky
199,Walvis Bay,NA,-22.9575,14.5053,53.6,100,0,2.3,clear sky
200,Sisimiut,GL,66.9395,-53.6735,28.38,63,100,14.34,overcast clouds
201,Mehamn,NO,71.0357,27.8492,25.66,86,45,13.24,scattered clouds
202,Namatanai,PG,-3.6667,152.4333,78.71,88,100,10.58,moderate rain
203,Kyra,RU,49.5776,111.9753,43.77,40,13,2.98,few clouds
204,Shu,KZ,43.5983,73.7614,52.0,76,0,4.41,clear sky
205,San Carlos De Bariloche,AR,-41.1456,-71.3082,50.0,71,75,9.22,broken clouds
206,Mahibadhoo,MV,3.7833,72.9667,81.86,73,11,7.56,few clouds
207,Fort Nelson,CA,58.8053,-122.7002,17.6,79,90,8.05,light snow
208,Chicama,PE,-7.8447,-79.1469,68.0,88,90,9.22,overcast clouds
209,Kununurra,AU,-15.7667,128.7333,91.4,49,100,3.44,overcast clouds
210,Gushikawa,JP,26.3544,127.8686,73.4,56,1,8.05,clear sky
211,Lebu,CL,-37.6167,-73.65,54.79,90,2,4.36,clear sky
212,Dong Hoi,VN,17.4833,106.6,77.7,83,100,5.79,overcast clouds
213,Luderitz,NA,-26.6481,15.1594,69.22,53,0,7.74,clear sky
214,Vestmannaeyjar,IS,63.4427,-20.2734,33.1,89,100,25.43,snow
215,Norman Wells,CA,65.282,-126.8329,10.4,52,20,10.36,few clouds
216,Torbay,CA,47.6666,-52.7314,36.0,100,90,12.66,light rain
217,Port Hardy,CA,50.6996,-127.4199,42.8,87,90,8.05,light rain
218,Beloha,MG,-25.1667,45.05,70.2,87,0,11.77,clear sky
219,Bogorodskoye,RU,56.55,37.8833,35.83,98,100,4.25,light rain
220,Dunedin,NZ,-45.8742,170.5036,59.0,76,15,10.0,few clouds
221,Westport,US,41.1415,-73.3579,54.0,62,1,6.91,clear sky
222,Suez,EG,29.9737,32.5263,63.79,68,6,16.26,clear sky
223,Teya,RU,60.3778,92.6267,31.86,88,100,1.21,overcast clouds
224,Port Hedland,AU,-20.3167,118.5667,89.6,55,6,8.05,clear sky
225,Moussoro,TD,13.6408,16.4901,84.24,12,72,11.27,broken clouds
226,Kruisfontein,ZA,-34.0033,24.7314,59.0,93,18,1.01,few clouds
227,Lorengau,PG,-2.0226,147.2712,81.59,81,100,14.25,light rain
228,Leningradskiy,RU,69.3833,178.4167,-5.71,90,76,9.48,broken clouds
229,Ayan,RU,56.45,138.1667,24.53,88,100,14.85,light snow
230,Behshahr,IR,36.6923,53.5526,63.12,43,11,3.96,few clouds
231,Kahului,US,20.8947,-156.47,78.8,53,40,21.85,scattered clouds
232,Pisco,PE,-13.7,-76.2167,70.0,83,0,19.57,moderate rain
233,Ardakan,IR,32.31,54.0175,57.2,23,6,2.3,clear sky
